code,name,sport,intensity,duration,duration_minutes,max_zone,zones,fit_file_url,description
CAe1,Cycling Aerobic 1,bike,low,70 min,70,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe1.FIT,"10 minutes Zone 1, 2 x (20 minutes Zone 2/5 minutes Zone 1) 10 minutes Zone 1"
CAe10,Cycling Aerobic 10,bike,low,210 min,210,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe10.FIT,"5 minutes Zone 1, 5 x (30 minutes Zone 2/10 minutes Zone 1) 5 minutes Zone 1"
CAe11,Cycling Aerobic 11,bike,low,250 min,250,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe11.FIT,"5 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 5 minutes Zone 1"
CAe12,Cycling Aerobic 12,bike,low,270 min,270,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe12.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 20 minutes Zone 1"
CAe13,Cycling Aerobic 13,bike,low,285 min,285,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe13.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 35 minutes Zone 1"
CAe14,Cycling Aerobic 14,bike,low,300 min,300,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe14.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 50 minutes Zone 1"
CAe15,Cycling Aerobic 15,bike,low,315 min,315,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe15.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 65 minutes Zone 1"
CAe16,Cycling Aerobic 16,bike,low,330 min,330,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe16.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 80 minutes Zone 1"
CAe17,Cycling Aerobic 17,bike,low,345 min,345,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe17.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 95 minutes Zone 1"
CAe18,Cycling Aerobic 18,bike,low,360 min,360,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe18.FIT,"10 minutes Zone 1, 6 x (30 minutes Zone 2/10 minutes Zone 1) 110 minutes Zone 1"
CAe19,Cycling Aerobic 19,bike,low,210 min,210,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe19.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 40 minutes Zone 1"
CAe2,Cycling Aerobic 2,bike,low,90 min,90,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe2.FIT,"15 minutes Zone 1, 3 x (15 minutes Zone 2/5 minutes Zone 1) 15 minutes Zone 1"
CAe20,Cycling Aerobic 20,bike,low,240 min,240,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe20.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 70 minutes Zone 1"
CAe21,Cycling Aerobic 21,bike,low,270 min,270,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe21.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 100 minutes Zone 1"
CAe22,Cycling Aerobic 22,bike,low,300 min,300,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe22.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 130 minutes Zone 1"
CAe23,Cycling Aerobic 23,bike,low,330 min,330,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe23.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 160 minutes Zone 1"
CAe24,Cycling Aerobic 24,bike,low,360 min,360,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe24.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 190 minutes Zone 1"
CAe25,Cycling Aerobic 25,bike,low,390 min,390,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe25.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 220 minutes Zone 1"
