code,name,sport,intensity,duration,duration_minutes,max_zone,zones,fit_file_url,description
RAe1,Running Aerobic 1,run,low,60 min,60,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe1.FIT,"10 minutes Zone 1, 3 x (10 minutes Zone 2/3 minutes Zone 1) 10 minutes Zone 1"
RAe10,Running Aerobic 10,run,low,105 min,105,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe10.FIT,"10 minutes Zone 1, 3 x (15 minutes Zone 2/5 minutes Zone 1) 35 minutes Zone 1"
RAe11,Running Aerobic 11,run,low,120 min,120,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe11.FIT,"10 minutes Zone 1, 3 x (15 minutes Zone 2/5 minutes Zone 1) 50 minutes Zone 1"
RAe12,Running Aerobic 12,run,low,135 min,135,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe12.FIT,"10 minutes Zone 1, 3 x (15 minutes Zone 2/5 minutes Zone 1) 65 minutes Zone 1"
RAe13,Running Aerobic 13,run,low,150 min,150,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe13.FIT,"10 minutes Zone 1, 3 x (15 minutes Zone 2/5 minutes Zone 1) 80 minutes Zone 1"
RAe14,Running Aerobic 14,run,low,120 min,120,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe14.FIT,"10 minutes Zone 1, 3 x (4 minutes Zone 2/1 minutes Zone 1) 95 minutes Zone 2"
RAe15,Running Aerobic 15,run,low,130 min,130,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe15.FIT,"10 minutes Zone 1, 3 x (5 minutes Zone 2/1 minutes Zone 1) 102 minutes Zone 2"
RAe16,Running Aerobic 16,run,low,140 min,140,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe16.FIT,"10 minutes Zone 1, 3 x (6 minutes Zone 2/1 minutes Zone 1) 109 minutes Zone 2"
RAe17,Running Aerobic 17,run,low,150 min,150,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe17.FIT,"10 minutes Zone 1, 3 x (7 minutes Zone 2/1 minutes Zone 1) 116 minutes Zone 2"
RAe18,Running Aerobic 18,run,low,160 min,160,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe18.FIT,"10 minutes Zone 1, 3 x (8 minutes Zone 2/1 minutes Zone 1) 123 minutes Zone 2"
RAe19,Running Aerobic 19,run,low,170 min,170,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe19.FIT,"10 minutes Zone 1, 3 x (9 minutes Zone 2/1 minutes Zone 1) 130 minutes Zone 2"
RAe2,Running Aerobic 2,run,low,90 min,90,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe2.FIT,"15 minutes Zone 1, 3 x (10 minutes Zone 2/3 minutes Zone 1) 35 minutes Zone 1"
RAe20,Running Aerobic 20,run,low,180 min,180,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe20.FIT,"10 minutes Zone 1, 3 x (10 minutes Zone 2/1 minutes Zone 1) 137 minutes Zone 2"
RAe21,Running Aerobic 21,run,low,165 min,165,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe21.FIT,"10 minutes Zone 1, 4 x (15 minutes Zone 2/1 minutes Zone 1) 90 minutes Zone 2"
RAe22,Running Aerobic 22,run,low,46 min,46,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe22.FIT,"10 minutes Zone 1, 3 x (10 minutes Zone 2/2 minutes Zone 1)"
RAe3,Running Aerobic 3,run,low,75 min,75,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe3.FIT,"12 minutes Zone 1, 4 x (10 minutes Zone 2/3 minutes Zone 1) 12 minutes Zone 1"
RAe4,Running Aerobic 4,run,low,90 min,90,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe4.FIT,"15 minutes Zone 1, 3 x (15 minutes Zone 2/5 minutes Zone 1) 15 minutes Zone 1"
RAe5,Running Aerobic 5,run,low,90 min,90,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe5.FIT,"10 minutes Zone 1, 4 x (15 minutes Zone 2/5 minutes Zone 1)"
RAe6,Running Aerobic 6,run,low,105 min,105,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe6.FIT,"10 minutes Zone 1, 4 x (15 minutes Zone 2/5 minutes Zone 1) 15 minutes Zone 1"
RAe7,Running Aerobic 7,run,low,120 min,120,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe7.FIT,"10 minutes Zone 1, 4 x (15 minutes Zone 2/5 minutes Zone 1) 30 minutes Zone 1"
RAe8,Running Aerobic 8,run,low,135 min,135,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe8.FIT,"10 minutes Zone 1, 4 x (15 minutes Zone 2/5 minutes Zone 1) 45 minutes Zone 1"
RAe9,Running Aerobic 9,run,low,150 min,150,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RAe9.FIT,"10 minutes Zone 1, 4 x (15 minutes Zone 2/5 minutes Zone 1) 60 minutes Zone 1"
RAn1,Running Anaerobic 1,run,high,60 min,60,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/run/RAn1.FIT,"15 minutes Zone 1, 4 x (2.5 minutes Zone 4/5 minutes Zone 1) 15 minutes Zone 1"
RAn2,Running Anaerobic 2,run,high,60 min,60,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/run/RAn2.FIT,"15 minutes Zone 1, 5 x (2.5 minutes Zone 4/5 minutes Zone 1) 7.5 minutes Zone 1"
RAn3,Running Anaerobic 3,run,high,60 min,60,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/run/RAn3.FIT,"15 minutes Zone 1, 6 x (2.5 minutes Zone 4/5 minutes Zone 1)"
RAn4,Running Anaerobic 4,run,high,45 min,45,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/run/RAn4.FIT,"15 minutes Zone 1, 4 x (2.5 minutes Zone 4/5 minutes Zone 1)"
RAn5,Running Anaerobic 5,run,high,45 min,45,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/run/RAn5.FIT,"15 minutes Zone 1, 3 x (2.5 minutes Zone 4/5 minutes Zone 1) 7 minutes Zone 1"
RCI1,Running Cruise Intervals 1,run,moderate,60 min,60,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI1.FIT,"5 minutes Zone 1, 21 minutes Zone 2, 3 x (5 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI10,Running Cruise Intervals 10,run,moderate,45 min,45,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI10.FIT,"5 minutes Zone 1, 6 minutes Zone 2, 3 x (6 minutes Zone 3/2 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI11,Running Cruise Intervals 11,run,moderate,53 min,53,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI11.FIT,"5 minutes Zone 1, 6 minutes Zone 2, 4 x (6 minutes Zone 3/2 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI12,Running Cruise Intervals 12,run,moderate,61 min,61,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI12.FIT,"5 minutes Zone 1, 10 minutes Zone 2, 4 x (7 minutes Zone 3/2 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI13,Running Cruise Intervals 13,run,moderate,30 min,30,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI13.FIT,"10 minutes Zone 1, 3 x (3 minutes Zone 3/2 minutes Zone 1) 5 minutes Zone 1"
RCI14,Running Cruise Intervals 14,run,moderate,71 min,71,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI14.FIT,"5 minutes Zone 1, 10 minutes Zone 2, 4 x (10 minutes Zone 3/4 minutes Zone 1)"
RCI15,Running Cruise Intervals 15,run,moderate,38 min,38,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI15.FIT,"15 minutes Zone 1, 3 x (4 minutes Zone 3/2 minutes Zone 1) 5 minutes Zone 1"
RCI2,Running Cruise Intervals 2,run,moderate,52 min,52,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI2.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (5 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI3,Running Cruise Intervals 3,run,moderate,64 min,64,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI3.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (8 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI4,Running Cruise Intervals 4,run,moderate,72 min,72,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI4.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (10 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI5,Running Cruise Intervals 5,run,moderate,80 min,80,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI5.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (12 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI6,Running Cruise Intervals 6,run,moderate,92 min,92,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI6.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (15 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
RCI7,Running Cruise Intervals 7,run,moderate,70 min,70,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI7.FIT,"15 minutes Zone 1, 11 minutes Zone 2, 2 x (10 minutes Zone 3/4 minutes Zone 1) 11 minutes Zone 2, 5 minutes Zone 1"
RCI8,Running Cruise Intervals 8,run,moderate,70 min,70,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI8.FIT,"5 minutes Zone 1, 10 minutes Zone 2, 4 x (6 minutes Zone 3/3 minutes Zone 1) 14 minutes Zone 2, 5 minutes Zone 1"
RCI9,Running Cruise Intervals 9,run,moderate,74 min,74,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/run/RCI9.FIT,"5 minutes Zone 1, 10 minutes Zone 2, 4 x (7 minutes Zone 3/3 minutes Zone 1) 14 minutes Zone 2, 5 minutes Zone 1"
RF1,Running Foundation 1,run,low,20 min,20,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RF1.FIT,"5 minutes in Zone 1, 10 minutes Zone 2, 5 minutes Zone 1"
RF10,Running Foundation 10,run,low,70 min,70,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RF10.FIT,"5 minutes in Zone 1, 60 minutes Zone 2, 5 minutes Zone 1"
RF11,Running Foundation 11,run,low,80 min,80,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/run/RF11.FIT,"5 minutes in Zone 1, 70 minutes Zone 2, 5 minutes Zone 1"
